Id,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1071,57.0,blue-collar,married,secondary,no,5935.0,yes,yes,unknown,5,may,258,1,-1,0,unknown,No
1072,31.0,services,married,secondary,no,25.0,yes,yes,unknown,5,may,172,1,-1,0,unknown,No
1073,54.0,management,married,secondary,no,282.0,yes,yes,unknown,5,may,154,1,-1,0,unknown,No
1074,55.0,blue-collar,married,primary,no,23.0,yes,no,unknown,5,may,291,1,-1,0,unknown,No
1075,43.0,technician,married,secondary,no,1937.0,yes,no,unknown,5,may,181,1,-1,0,unknown,No
1076,53.0,technician,married,secondary,no,384.0,yes,no,unknown,5,may,176,1,-1,0,unknown,No
1077,44.0,blue-collar,married,secondary,no,582.0,no,yes,unknown,5,may,211,1,-1,0,unknown,No
1078,55.0,services,divorced,secondary,no,91.0,no,no,unknown,5,may,349,1,-1,0,unknown,No
1079,49.0,services,divorced,secondary,no,0.0,yes,yes,unknown,5,may,272,1,-1,0,unknown,No
1080,55.0,services,divorced,secondary,yes,1.0,yes,no,unknown,5,may,208,1,-1,0,unknown,No
1081,45.0,admin.,single,secondary,no,206.0,yes,no,unknown,5,may,193,1,-1,0,unknown,No
1082,47.0,services,divorced,secondary,no,164.0,no,no,unknown,5,may,212,1,-1,0,unknown,No
1083,42.0,technician,single,secondary,no,690.0,yes,no,unknown,5,may,20,1,-1,0,unknown,No
1084,59.0,admin.,married,secondary,no,2343.0,yes,no,unknown,5,may,1042,1,-1,0,unknown,Yes
1085,46.0,self-employed,married,tertiary,no,137.0,yes,yes,unknown,5,may,246,1,-1,0,unknown,No
1086,51.0,blue-collar,married,primary,no,173.0,yes,no,unknown,5,may,529,2,-1,0,unknown,No
1087,56.0,admin.,married,secondary,no,45.0,no,no,unknown,5,may,1467,1,-1,0,unknown,Yes
1088,41.0,technician,married,secondary,no,1270.0,yes,no,unknown,5,may,1389,1,-1,0,unknown,Yes
1089,46.0,management,divorced,secondary,no,16.0,yes,yes,unknown,5,may,188,2,-1,0,unknown,No
1090,57.0,retired,married,secondary,no,486.0,yes,no,unknown,5,may,180,2,-1,0,unknown,No
1091,42.0,management,single,secondary,no,50.0,no,no,unknown,5,may,48,1,-1,0,unknown,No
1092,30.0,technician,married,secondary,no,152.0,yes,yes,unknown,5,may,213,2,-1,0,unknown,No
1093,60.0,admin.,married,secondary,no,290.0,yes,no,unknown,5,may,583,1,-1,0,unknown,No
1094,60.0,blue-collar,married,unknown,no,54.0,yes,no,unknown,5,may,221,1,-1,0,unknown,No
1095,57.0,entrepreneur,divorced,secondary,no,-37.0,no,no,unknown,5,may,173,1,-1,0,unknown,No
1096,36.0,management,married,tertiary,no,101.0,yes,yes,unknown,5,may,426,1,-1,0,unknown,No
1097,55.0,blue-collar,married,secondary,no,383.0,no,no,unknown,5,may,287,1,-1,0,unknown,No
1098,60.0,retired,married,tertiary,no,81.0,yes,no,unknown,5,may,101,1,-1,0,unknown,No
1099,39.0,technician,married,secondary,no,0.0,yes,no,unknown,5,may,203,1,-1,0,unknown,No
1100,46.0,management,married,tertiary,no,229.0,yes,no,unknown,5,may,197,1,-1,0,unknown,No
1101,44.0,blue-collar,married,secondary,no,-674.0,yes,no,unknown,5,may,257,1,-1,0,unknown,No
1102,53.0,blue-collar,married,primary,no,90.0,no,no,unknown,5,may,124,1,-1,0,unknown,No
1103,52.0,blue-collar,married,primary,no,128.0,yes,no,unknown,5,may,229,1,-1,0,unknown,No
1104,59.0,blue-collar,married,primary,no,179.0,yes,no,unknown,5,may,55,3,-1,0,unknown,No
1105,27.0,technician,single,tertiary,no,0.0,yes,no,unknown,5,may,400,1,-1,0,unknown,No
1106,44.0,blue-collar,married,secondary,no,54.0,yes,no,unknown,5,may,197,1,-1,0,unknown,No
1107,47.0,technician,married,tertiary,no,151.0,yes,no,unknown,5,may,190,1,-1,0,unknown,No
1108,34.0,admin.,married,secondary,no,61.0,no,yes,unknown,5,may,21,1,-1,0,unknown,No
1109,59.0,retired,single,secondary,no,30.0,yes,no,unknown,5,may,514,1,-1,0,unknown,No
1110,45.0,management,married,tertiary,no,523.0,yes,no,unknown,5,may,849,2,-1,0,unknown,No
1111,29.0,services,divorced,secondary,no,31.0,yes,no,unknown,5,may,194,1,-1,0,unknown,No
1112,46.0,technician,divorced,secondary,no,79.0,no,no,unknown,5,may,144,1,-1,0,unknown,No
1113,56.0,self-employed,married,primary,no,-34.0,yes,yes,unknown,5,may,212,2,-1,0,unknown,No
1114,36.0,blue-collar,married,primary,no,448.0,yes,no,unknown,5,may,286,1,-1,0,unknown,No
1115,59.0,retired,divorced,primary,no,81.0,yes,no,unknown,5,may,107,1,-1,0,unknown,No
1116,44.0,blue-collar,married,secondary,no,144.0,yes,no,unknown,5,may,247,2,-1,0,unknown,No
1117,41.0,admin.,married,secondary,no,351.0,yes,no,unknown,5,may,518,1,-1,0,unknown,No
1118,33.0,management,single,tertiary,no,-67.0,yes,no,unknown,5,may,364,1,-1,0,unknown,No
1119,59.0,management,divorced,tertiary,no,262.0,no,no,unknown,5,may,178,1,-1,0,unknown,No
1120,57.0,technician,married,primary,no,0.0,no,no,unknown,5,may,98,1,-1,0,unknown,No
1121,56.0,technician,divorced,unknown,no,56.0,yes,no,unknown,5,may,439,1,-1,0,unknown,No
1122,51.0,blue-collar,married,secondary,no,26.0,yes,no,unknown,5,may,79,1,-1,0,unknown,No
1123,34.0,admin.,married,unknown,no,3.0,yes,no,unknown,5,may,120,3,-1,0,unknown,No
1124,43.0,services,married,secondary,no,41.0,yes,yes,unknown,5,may,127,2,-1,0,unknown,No
1125,52.0,technician,married,tertiary,no,7.0,no,yes,unknown,5,may,175,1,-1,0,unknown,No
1126,33.0,technician,single,secondary,no,105.0,yes,no,unknown,5,may,262,2,-1,0,unknown,No
1127,29.0,admin.,single,secondary,no,818.0,yes,yes,unknown,5,may,61,1,-1,0,unknown,No
1128,34.0,services,married,secondary,no,-16.0,yes,yes,unknown,5,may,78,1,-1,0,unknown,No
1129,31.0,blue-collar,married,secondary,no,0.0,yes,no,unknown,5,may,143,1,-1,0,unknown,No
1130,55.0,services,married,secondary,no,2476.0,yes,no,unknown,5,may,579,1,-1,0,unknown,Yes
1131,55.0,management,married,unknown,no,1185.0,no,no,unknown,5,may,677,1,-1,0,unknown,No
1132,32.0,admin.,single,secondary,no,217.0,yes,no,unknown,5,may,345,1,-1,0,unknown,No
1133,38.0,technician,single,secondary,no,1685.0,yes,no,unknown,5,may,185,1,-1,0,unknown,No
1134,55.0,admin.,single,secondary,no,802.0,yes,yes,unknown,5,may,100,2,-1,0,unknown,No
1135,28.0,unemployed,single,tertiary,no,0.0,yes,no,unknown,5,may,125,2,-1,0,unknown,No
1136,23.0,blue-collar,married,secondary,no,94.0,yes,no,unknown,5,may,193,1,-1,0,unknown,No
1137,32.0,technician,single,secondary,no,0.0,yes,no,unknown,5,may,136,1,-1,0,unknown,No
1138,43.0,services,single,unknown,no,0.0,no,no,unknown,5,may,73,1,-1,0,unknown,No
1139,32.0,blue-collar,married,secondary,no,517.0,yes,no,unknown,5,may,528,1,-1,0,unknown,No
1140,46.0,blue-collar,married,secondary,no,265.0,yes,no,unknown,5,may,541,1,-1,0,unknown,No
1141,53.0,housemaid,divorced,primary,no,947.0,yes,no,unknown,5,may,163,1,-1,0,unknown,No
1142,34.0,self-employed,single,secondary,no,3.0,yes,no,unknown,5,may,301,1,-1,0,unknown,No
1143,57.0,unemployed,married,tertiary,no,42.0,no,no,unknown,5,may,46,1,-1,0,unknown,No
1144,37.0,blue-collar,married,secondary,no,37.0,yes,no,unknown,5,may,204,1,-1,0,unknown,No
1145,59.0,blue-collar,married,secondary,no,57.0,yes,no,unknown,5,may,98,1,-1,0,unknown,No
1146,33.0,services,married,secondary,no,22.0,yes,no,unknown,5,may,71,1,-1,0,unknown,No
1147,56.0,blue-collar,divorced,primary,no,8.0,yes,no,unknown,5,may,157,2,-1,0,unknown,No
1148,48.0,unemployed,married,secondary,no,293.0,yes,no,unknown,5,may,243,1,-1,0,unknown,No
1149,43.0,services,married,primary,no,3.0,yes,no,unknown,5,may,186,2,-1,0,unknown,No
1150,54.0,blue-collar,married,primary,no,348.0,yes,no,unknown,5,may,579,2,-1,0,unknown,No
1151,51.0,blue-collar,married,unknown,no,-19.0,yes,no,unknown,5,may,163,2,-1,0,unknown,No
1152,26.0,student,single,secondary,no,0.0,yes,no,unknown,5,may,610,2,-1,0,unknown,No
1153,40.0,management,married,tertiary,no,-4.0,yes,no,unknown,5,may,2033,1,-1,0,unknown,No
1154,39.0,management,married,secondary,no,18.0,yes,no,unknown,5,may,85,1,-1,0,unknown,No
1155,50.0,technician,married,primary,no,139.0,no,no,unknown,5,may,114,2,-1,0,unknown,No
1156,41.0,services,married,secondary,no,0.0,yes,no,unknown,5,may,114,2,-1,0,unknown,No
1157,51.0,blue-collar,married,unknown,no,1883.0,yes,no,unknown,5,may,57,1,-1,0,unknown,No
1158,60.0,retired,divorced,secondary,no,216.0,yes,no,unknown,5,may,238,1,-1,0,unknown,No
1159,52.0,blue-collar,married,secondary,no,782.0,yes,no,unknown,5,may,93,3,-1,0,unknown,No
1160,48.0,blue-collar,married,secondary,no,904.0,yes,no,unknown,5,may,128,2,-1,0,unknown,No
1161,48.0,services,married,unknown,no,1705.0,yes,no,unknown,5,may,107,1,-1,0,unknown,No
1162,39.0,technician,single,tertiary,no,47.0,yes,no,unknown,5,may,181,1,-1,0,unknown,No
1163,47.0,services,single,secondary,no,176.0,yes,no,unknown,5,may,303,2,-1,0,unknown,No
1164,40.0,blue-collar,married,secondary,no,1225.0,yes,no,unknown,5,may,558,5,-1,0,unknown,No
1165,45.0,technician,married,secondary,no,86.0,yes,no,unknown,5,may,270,1,-1,0,unknown,No
1166,26.0,admin.,single,secondary,no,82.0,yes,no,unknown,5,may,228,1,-1,0,unknown,No
1167,52.0,management,married,tertiary,no,271.0,yes,no,unknown,5,may,99,1,-1,0,unknown,No
1168,54.0,technician,married,secondary,no,1378.0,yes,no,unknown,5,may,240,1,-1,0,unknown,No
1169,54.0,admin.,married,tertiary,no,184.0,no,no,unknown,5,may,673,2,-1,0,unknown,Yes
1170,50.0,blue-collar,married,primary,no,0.0,no,no,unknown,5,may,233,3,-1,0,unknown,No
1171,35.0,blue-collar,married,secondary,no,0.0,yes,no,unknown,5,may,1056,1,-1,0,unknown,No
1172,44.0,services,married,secondary,no,1357.0,yes,yes,unknown,5,may,250,1,-1,0,unknown,No
1173,53.0,entrepreneur,married,unknown,no,19.0,yes,no,unknown,5,may,252,1,-1,0,unknown,No
1174,35.0,retired,single,primary,no,434.0,no,no,unknown,5,may,138,1,-1,0,unknown,No
1175,60.0,admin.,divorced,secondary,no,92.0,yes,no,unknown,5,may,130,1,-1,0,unknown,No
1176,53.0,admin.,divorced,secondary,no,1151.0,yes,no,unknown,5,may,412,1,-1,0,unknown,No
1177,48.0,unemployed,married,secondary,no,41.0,yes,no,unknown,5,may,179,2,-1,0,unknown,No
1178,34.0,technician,married,secondary,no,51.0,yes,no,unknown,5,may,19,2,-1,0,unknown,No
1179,54.0,services,married,secondary,no,214.0,yes,no,unknown,5,may,458,2,-1,0,unknown,No
1180,51.0,management,married,secondary,no,1161.0,yes,no,unknown,5,may,717,1,-1,0,unknown,No
1181,31.0,services,married,tertiary,no,37.0,yes,no,unknown,5,may,313,1,-1,0,unknown,No
1182,35.0,technician,divorced,secondary,no,787.0,yes,no,unknown,5,may,683,2,-1,0,unknown,No
1183,35.0,services,married,secondary,no,59.0,yes,no,unknown,5,may,1077,1,-1,0,unknown,No
1184,38.0,technician,married,secondary,no,253.0,yes,no,unknown,5,may,416,1,-1,0,unknown,No
1185,36.0,admin.,married,tertiary,no,211.0,yes,no,unknown,5,may,146,2,-1,0,unknown,No
1186,58.0,retired,married,primary,no,235.0,yes,no,unknown,5,may,167,1,-1,0,unknown,No
1187,40.0,services,divorced,unknown,no,4384.0,yes,no,unknown,5,may,315,1,-1,0,unknown,No
1188,54.0,management,married,secondary,no,4080.0,no,no,unknown,5,may,140,1,-1,0,unknown,No
1189,34.0,blue-collar,single,secondary,no,53.0,yes,yes,unknown,5,may,346,1,-1,0,unknown,No
1190,31.0,management,single,tertiary,no,0.0,yes,no,unknown,5,may,562,1,-1,0,unknown,No
1191,51.0,retired,married,secondary,no,2127.0,yes,no,unknown,5,may,172,1,-1,0,unknown,No
1192,33.0,management,married,tertiary,no,377.0,yes,no,unknown,5,may,217,1,-1,0,unknown,No
1193,55.0,management,married,tertiary,no,73.0,yes,no,unknown,5,may,142,2,-1,0,unknown,No
1194,42.0,admin.,married,secondary,no,445.0,yes,no,unknown,5,may,67,1,-1,0,unknown,No
1195,34.0,blue-collar,married,secondary,no,243.0,yes,no,unknown,5,may,291,1,-1,0,unknown,No
1196,33.0,blue-collar,single,secondary,no,307.0,yes,no,unknown,5,may,309,2,-1,0,unknown,No
1197,38.0,services,married,secondary,no,155.0,yes,no,unknown,5,may,248,1,-1,0,unknown,No
1198,50.0,technician,divorced,tertiary,no,173.0,no,yes,unknown,5,may,98,1,-1,0,unknown,No
1199,43.0,management,married,tertiary,no,400.0,yes,no,unknown,5,may,256,1,-1,0,unknown,No
1200,61.0,blue-collar,divorced,primary,no,1428.0,yes,no,unknown,5,may,82,2,-1,0,unknown,No
1201,47.0,admin.,married,secondary,no,219.0,yes,no,unknown,5,may,577,1,-1,0,unknown,No
1202,48.0,self-employed,married,tertiary,no,7.0,yes,no,unknown,5,may,286,1,-1,0,unknown,No
1203,44.0,blue-collar,married,secondary,no,575.0,yes,no,unknown,5,may,477,1,-1,0,unknown,No
1204,35.0,student,single,unknown,no,298.0,yes,no,unknown,5,may,611,2,-1,0,unknown,No
1205,35.0,services,married,secondary,no,0.0,yes,no,unknown,5,may,471,1,-1,0,unknown,No
1206,50.0,services,married,secondary,no,5699.0,yes,no,unknown,5,may,381,2,-1,0,unknown,No
1207,41.0,management,married,tertiary,no,176.0,yes,yes,unknown,5,may,42,1,-1,0,unknown,No
1208,41.0,management,married,tertiary,no,517.0,yes,no,unknown,5,may,251,1,-1,0,unknown,No
1209,39.0,services,single,unknown,no,257.0,yes,no,unknown,5,may,408,1,-1,0,unknown,No
1210,42.0,retired,married,secondary,no,56.0,yes,no,unknown,5,may,215,1,-1,0,unknown,No
1211,38.0,blue-collar,married,secondary,no,-390.0,yes,no,unknown,5,may,287,1,-1,0,unknown,No
1212,53.0,retired,married,secondary,no,330.0,yes,no,unknown,5,may,216,2,-1,0,unknown,No
1213,59.0,housemaid,divorced,primary,no,195.0,no,no,unknown,5,may,366,2,-1,0,unknown,No
1214,36.0,services,married,secondary,no,301.0,yes,no,unknown,5,may,210,1,-1,0,unknown,No
1215,54.0,blue-collar,married,primary,no,-41.0,yes,no,unknown,5,may,288,1,-1,0,unknown,No
1216,40.0,technician,married,tertiary,no,483.0,yes,no,unknown,5,may,168,1,-1,0,unknown,No
1217,47.0,unknown,married,unknown,no,28.0,no,no,unknown,5,may,338,2,-1,0,unknown,No
1218,53.0,unemployed,married,unknown,no,13.0,no,no,unknown,5,may,410,3,-1,0,unknown,No
1219,46.0,housemaid,married,primary,no,965.0,no,no,unknown,5,may,177,1,-1,0,unknown,No
1220,39.0,management,married,tertiary,no,378.0,yes,yes,unknown,5,may,127,2,-1,0,unknown,No
1221,40.0,unemployed,married,secondary,no,219.0,yes,no,unknown,5,may,357,1,-1,0,unknown,No
1222,28.0,blue-collar,married,primary,no,324.0,yes,no,unknown,5,may,175,1,-1,0,unknown,No
1223,35.0,entrepreneur,divorced,secondary,no,-69.0,yes,no,unknown,5,may,300,1,-1,0,unknown,No
1224,55.0,retired,married,secondary,no,0.0,no,yes,unknown,5,may,136,1,-1,0,unknown,No
1225,43.0,technician,divorced,unknown,no,205.0,yes,no,unknown,5,may,1419,1,-1,0,unknown,No
1226,48.0,blue-collar,married,primary,no,278.0,yes,no,unknown,5,may,125,2,-1,0,unknown,No
1227,58.0,management,married,unknown,no,1065.0,yes,no,unknown,5,may,213,3,-1,0,unknown,No
1228,33.0,management,single,tertiary,no,34.0,yes,no,unknown,5,may,27,1,-1,0,unknown,No
1229,36.0,blue-collar,married,unknown,no,1033.0,no,no,unknown,5,may,238,2,-1,0,unknown,No
1230,53.0,services,divorced,secondary,no,1467.0,yes,no,unknown,5,may,124,1,-1,0,unknown,No
1231,47.0,blue-collar,married,primary,no,-12.0,yes,no,unknown,5,may,18,1,-1,0,unknown,No
1232,31.0,services,married,secondary,no,388.0,yes,no,unknown,5,may,730,2,-1,0,unknown,No
1233,57.0,entrepreneur,married,secondary,no,294.0,yes,no,unknown,5,may,746,2,-1,0,unknown,No
1234,53.0,blue-collar,married,unknown,no,1827.0,no,no,unknown,5,may,121,1,-1,0,unknown,No
1235,55.0,blue-collar,married,primary,no,627.0,yes,no,unknown,5,may,247,1,-1,0,unknown,No
1236,45.0,blue-collar,married,primary,no,25.0,yes,no,unknown,5,may,40,1,-1,0,unknown,No
1237,53.0,admin.,divorced,secondary,no,315.0,yes,no,unknown,5,may,181,2,-1,0,unknown,No
1238,37.0,blue-collar,married,primary,no,0.0,yes,no,unknown,5,may,79,1,-1,0,unknown,No
1239,44.0,admin.,divorced,secondary,no,66.0,yes,no,unknown,5,may,206,1,-1,0,unknown,No
1240,49.0,blue-collar,divorced,primary,no,-9.0,yes,yes,unknown,5,may,389,1,-1,0,unknown,No
1241,46.0,technician,married,secondary,no,349.0,yes,yes,unknown,5,may,127,1,-1,0,unknown,No
1242,43.0,entrepreneur,married,unknown,no,100.0,yes,no,unknown,5,may,702,1,-1,0,unknown,No
1243,38.0,admin.,married,secondary,no,0.0,no,no,unknown,5,may,151,1,-1,0,unknown,No
1244,43.0,technician,married,secondary,no,434.0,yes,no,unknown,5,may,117,1,-1,0,unknown,No
1245,49.0,management,married,tertiary,no,3237.0,yes,no,unknown,5,may,232,3,-1,0,unknown,No
1246,42.0,management,married,unknown,no,275.0,no,no,unknown,5,may,408,2,-1,0,unknown,No
1247,22.0,blue-collar,single,secondary,no,0.0,yes,no,unknown,5,may,179,2,-1,0,unknown,No
1248,40.0,management,married,tertiary,no,207.0,yes,no,unknown,5,may,39,1,-1,0,unknown,No
1249,39.0,blue-collar,married,secondary,no,483.0,yes,no,unknown,5,may,282,1,-1,0,unknown,No
1250,51.0,services,married,secondary,no,2248.0,yes,no,unknown,5,may,714,2,-1,0,unknown,No
1251,49.0,admin.,married,secondary,no,428.0,yes,no,unknown,5,may,50,1,-1,0,unknown,No
1252,53.0,blue-collar,married,secondary,no,0.0,yes,yes,unknown,5,may,181,1,-1,0,unknown,No
1253,34.0,services,single,secondary,no,0.0,yes,no,unknown,5,may,142,1,-1,0,unknown,No
1254,33.0,technician,divorced,secondary,no,140.0,yes,no,unknown,5,may,227,1,-1,0,unknown,No
1255,50.0,management,single,tertiary,no,297.0,yes,no,unknown,5,may,119,1,-1,0,unknown,No
1256,39.0,blue-collar,married,primary,no,279.0,yes,no,unknown,5,may,361,1,-1,0,unknown,No
1257,59.0,entrepreneur,divorced,secondary,no,901.0,yes,no,unknown,5,may,73,3,-1,0,unknown,No
1258,30.0,technician,single,secondary,no,2573.0,yes,no,unknown,5,may,67,2,-1,0,unknown,No
1259,36.0,services,married,secondary,no,143.0,yes,yes,unknown,5,may,350,1,-1,0,unknown,No
1260,40.0,blue-collar,married,secondary,no,475.0,yes,no,unknown,5,may,332,2,-1,0,unknown,No
1261,53.0,blue-collar,married,secondary,no,70.0,yes,no,unknown,5,may,611,2,-1,0,unknown,No
1262,34.0,management,single,tertiary,no,318.0,yes,no,unknown,5,may,113,2,-1,0,unknown,No
1263,37.0,technician,married,secondary,no,275.0,yes,no,unknown,5,may,132,1,-1,0,unknown,No
1264,42.0,management,divorced,tertiary,no,742.0,yes,no,unknown,5,may,58,3,-1,0,unknown,No
1265,41.0,entrepreneur,married,primary,no,236.0,yes,no,unknown,5,may,151,1,-1,0,unknown,No
1266,30.0,student,single,tertiary,no,25.0,yes,no,unknown,5,may,89,2,-1,0,unknown,No
1267,37.0,management,single,tertiary,no,600.0,yes,no,unknown,5,may,152,1,-1,0,unknown,No
1268,39.0,admin.,divorced,secondary,no,-349.0,yes,no,unknown,5,may,611,2,-1,0,unknown,No
1269,41.0,blue-collar,married,primary,no,183.0,yes,yes,unknown,5,may,110,2,-1,0,unknown,No
1270,40.0,blue-collar,married,primary,no,0.0,yes,no,unknown,5,may,463,1,-1,0,unknown,No
1271,42.0,management,single,tertiary,no,0.0,yes,yes,unknown,5,may,562,2,-1,0,unknown,Yes
1272,40.0,blue-collar,divorced,primary,no,0.0,yes,no,unknown,5,may,962,1,-1,0,unknown,No
1273,57.0,technician,married,secondary,no,1078.0,yes,no,unknown,5,may,10,4,-1,0,unknown,No
1274,56.0,entrepreneur,divorced,secondary,no,155.0,no,no,unknown,5,may,118,3,-1,0,unknown,No
1275,37.0,admin.,married,secondary,no,190.0,yes,no,unknown,5,may,92,2,-1,0,unknown,No
1276,59.0,retired,married,secondary,no,319.0,yes,no,unknown,5,may,143,3,-1,0,unknown,No
1277,39.0,services,divorced,secondary,no,-185.0,yes,no,unknown,5,may,189,3,-1,0,unknown,No
1278,49.0,services,married,secondary,no,47.0,no,no,unknown,5,may,234,2,-1,0,unknown,No
1279,38.0,services,single,secondary,no,570.0,yes,no,unknown,5,may,75,2,-1,0,unknown,No
1280,36.0,self-employed,married,tertiary,no,19.0,no,no,unknown,5,may,189,2,-1,0,unknown,No
1281,50.0,blue-collar,married,primary,no,61.0,yes,no,unknown,5,may,621,3,-1,0,unknown,No
1282,41.0,admin.,married,secondary,no,-62.0,yes,yes,unknown,5,may,55,2,-1,0,unknown,No
1283,54.0,technician,married,tertiary,no,258.0,no,no,unknown,5,may,310,4,-1,0,unknown,No
1284,58.0,blue-collar,married,primary,no,76.0,yes,no,unknown,5,may,156,2,-1,0,unknown,No
